datetime,Symbol,Open,High,Low,Close,Volume
2025-12-14 11:30:00,BINANCE:BTCUSD,90195.37,90195.37,90195.37,90195.37,0.00022
2025-12-14 13:30:00,BINANCE:BTCUSD,90250.81,90327.83,90210.74,90210.74,0.00364
2025-12-14 15:30:00,BINANCE:BTCUSD,90030.17,90030.17,90030.17,90030.17,7e-05
2025-12-14 16:30:00,BINANCE:BTCUSD,89799.43,89799.43,88866.66,89327.92,0.11937
2025-12-14 17:30:00,BINANCE:BTCUSD,89327.92,89511.64,89327.92,89442.34,0.00216
2025-12-14 18:30:00,BINANCE:BTCUSD,89385.72,89394.51,89248.93,89248.93,0.00079
2025-12-14 19:30:00,BINANCE:BTCUSD,89511.64,89539.8,88867.66,89124.7,0.16141
2025-12-14 20:30:00,BINANCE:BTCUSD,89124.7,89124.7,88989.85,89074.24,0.00163
2025-12-14 21:30:00,BINANCE:BTCUSD,89124.7,89124.7,88598.38,88867.66,0.00174
2025-12-14 22:30:00,BINANCE:BTCUSD,88965.68,88996.09,88739.43,88800.95,0.00369
2025-12-14 23:30:00,BINANCE:BTCUSD,88810.45,88996.09,88810.45,88896.55,0.07883
2025-12-15 00:30:00,BINANCE:BTCUSD,89015.0,89015.0,88739.43,88739.43,0.00041
2025-12-15 01:30:00,BINANCE:BTCUSD,88715.51,88844.31,88437.75,88722.38,0.0241
2025-12-15 02:30:00,BINANCE:BTCUSD,88653.43,88653.43,88600.0,88600.0,0.01155
2025-12-15 03:30:00,BINANCE:BTCUSD,88611.37,88611.37,88123.94,88165.13,0.03153
2025-12-15 04:30:00,BINANCE:BTCUSD,88483.51,88611.37,87767.28,88200.76,0.01748
2025-12-15 05:30:00,BINANCE:BTCUSD,88375.66,88611.37,88168.83,88547.05,0.00617
2025-12-15 06:30:00,BINANCE:BTCUSD,88611.37,89276.54,88611.37,89253.49,0.00098
2025-12-15 07:30:00,BINANCE:BTCUSD,89511.64,90030.17,89369.64,89369.64,0.00787
2025-12-15 08:30:00,BINANCE:BTCUSD,89382.47,89382.47,89323.37,89323.37,0.00289
2025-12-15 09:30:00,BINANCE:BTCUSD,89336.14,89770.53,89336.14,89770.53,0.00058
2025-12-15 10:30:00,BINANCE:BTCUSD,89640.99,89672.69,89640.99,89672.69,0.00014
2025-12-15 11:30:00,BINANCE:BTCUSD,89578.66,89900.26,89578.66,89900.26,0.00279
2025-12-15 12:30:00,BINANCE:BTCUSD,89640.99,89770.53,89633.63,89770.53,0.00083
2025-12-15 13:30:00,BINANCE:BTCUSD,89761.68,89905.59,89761.68,89898.75,0.00372
2025-12-15 14:30:00,BINANCE:BTCUSD,89930.15,89930.15,89906.0,89906.0,0.00144
2025-12-15 15:30:00,BINANCE:BTCUSD,89900.26,89900.26,89900.26,89900.26,7e-05
2025-12-15 16:30:00,BINANCE:BTCUSD,89887.52,89887.52,89640.99,89640.99,0.00165
