datetime,Symbol,Open,High,Low,Close,Volume,MA7,MA21,Daily_Return,STD7,SMMA7,RSI
2025-12-15 09:30:00,BINANCE:BTCUSD,89336.14,89770.53,89336.14,89770.53,0.00058,88947.13857142857,89138.63571428572,0.005006080715494798,635.1602724359823,89113.57304287983,61.103080709589776
2025-12-15 10:30:00,BINANCE:BTCUSD,89640.99,89672.69,89640.99,89672.69,0.00014,89162.50428571428,89113.74619047619,-0.001089889967230806,578.9044485882395,89193.446893897,58.632818473412755
2025-12-15 11:30:00,BINANCE:BTCUSD,89578.66,89900.26,89578.66,89900.26,0.00279,89405.29,89098.96142857143,0.002537784915340291,450.4625890867019,89294.42019476886,62.43669966182787
2025-12-15 12:30:00,BINANCE:BTCUSD,89640.99,89770.53,89633.63,89770.53,0.00083,89580.07285714285,89086.59761904762,-0.0014430436574932592,258.35385776846385,89362.43588123046,59.10035293581799
2025-12-15 13:30:00,BINANCE:BTCUSD,89761.68,89905.59,89761.68,89898.75,0.00372,89672.25285714286,89113.78,0.0014283083769250915,236.60761714391418,89439.05218391183,61.3013865819725
2025-12-15 14:30:00,BINANCE:BTCUSD,89930.15,89930.15,89906.0,89906.0,0.00144,89748.8757142857,89135.85904761904,8.064628262349771e-05,207.31004830596632,89505.75901478158,61.427787024535
2025-12-15 15:30:00,BINANCE:BTCUSD,89900.26,89900.26,89900.26,89900.26,7e-05,89831.28857142857,89166.87476190476,-6.384445976914677e-05,93.25920212509422,89562.11629838422,61.25719102706961
2025-12-15 16:30:00,BINANCE:BTCUSD,89887.52,89887.52,89640.99,89640.99,0.00165,89812.78285714285,89191.45999999999,-0.0028839738616994737,117.12413979989208,89573.38397004362,53.96672796909671
2025-12-15 17:30:00,BINANCE:BTCUSD,89644.0,89770.53,89573.02,89754.8,0.00356,89824.51285714286,89223.86761904761,0.001269620070014854,104.14832175251593,89599.30054575168,56.41867617862378
2025-12-15 18:30:00,BINANCE:BTCUSD,89710.6,89806.45,89382.47,89518.75,0.07222,89770.01142857142,89254.87190476191,-0.0026299429111312778,148.34739222852593,89587.79332493003,50.420060053828564
2025-12-15 19:30:00,BINANCE:BTCUSD,89599.1,89770.53,87973.88,88101.01,0.12758,89531.50857142857,89221.54142857142,-0.01583735250994911,647.9997302321875,89375.39570708288,29.874833240834064
2025-12-15 20:30:00,BINANCE:BTCUSD,87973.88,88101.01,86698.07,87333.16,1.32556,89164.9957142857,89147.09428571427,-0.008715564100797435,1022.8204759203369,89083.64774892818,24.13798806967342
2025-12-15 21:30:00,BINANCE:BTCUSD,86966.02,87170.51,86213.19,86337.77,0.12192,88655.24857142856,89032.72952380951,-0.011397618041073976,1408.4384495062486,88691.3794990813,19.03502283492048
2025-12-15 22:30:00,BINANCE:BTCUSD,86462.54,86462.54,85716.64,85747.28,0.008,88061.96571428572,88891.05809523808,-0.006839301038236267,1650.4811980838988,88270.7938563554,16.77006443516759
2025-12-15 23:30:00,BINANCE:BTCUSD,85772.53,86297.93,85346.1,86261.32,0.21103,87579.1557142857,88779.69238095239,0.005994825725084363,1605.2932199534175,87983.72616259035,25.12274362800918
2025-12-16 00:30:00,BINANCE:BTCUSD,86111.58,86548.16,85946.88,86285.76,0.00629,87083.57857142857,88690.19857142857,0.0002833251334433129,1334.2954080890072,87741.15956793459,25.505532437924842
2025-12-16 01:30:00,BINANCE:BTCUSD,86000.0,86088.78,85730.21,85910.5,0.05771,86568.11428571428,88581.13857142857,-0.004349037430973479,843.4250466174482,87479.63677251537,23.51753058717626
2025-12-16 02:30:00,BINANCE:BTCUSD,85657.55,86278.75,85657.55,86224.46,0.01245,86300.03571428571,88470.53904761905,0.003654500905011737,505.5460759696237,87300.32580501318,28.536271658387488
2025-12-16 03:30:00,BINANCE:BTCUSD,86234.84,86234.84,85964.55,86104.68,0.00124,86124.53857142857,88320.59571428571,-0.0013891649770844117,219.3491679506518,87129.51926143988,27.787117730152033
